Experiment	Tag	Anim	Date	Date/Time	Standing	Active	Lying	Steps	collar	distance(m)	X_Act	Y_Act	%HeadDown	Activity	DFL1	DFL2	DFL3	DFA12	DFA123	DBL1	DBL2	DBL3	DBA12	DBA123	DiffXY	MeanXY	VarXY	X_Actlog	Y_Actlog	Stepslog	distance(m)log	VarXYlog	DiffXYlog	MeanXYlog	epoch	day	prev_Active1	prev_Active2	prev_Active3	prev_Standing1	prev_Standing2	prev_Standing3	prev_Lying1	prev_Lying2	prev_Lying3	prev_steps1	prev_steps2	prev_steps3	prev_headdown1	prev_headdown2	prev_headdown3
Abdel	177360	a2	9/14/1950	08:01:00	0.669	0.331	0	73	1525	46.37	146	80	51	G	137.5	147.4	216.8	167	243.1	31.9	179.3	150.9	183.5	265.1	66	113	46.66904755831214	2.1643528557847347	1.9030899869924864	1.8633228601210508	1.666237095896741	1.6690289377108087	1.8195439355425267	2.053078443483804	1950-09-14T08:01:00Z	1950-09-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abdel	177492	a7	9/14/1950	08:05:00	0.7788	0.2212	0	54	1531	43.82	70	38	38	G	14.4	197	171.4	222.9	248.6	129.4	180.1	130	180.1	230.3	32	54	22.627416997969522	1.8450980400148773	1.579783596617953	1.7323937598237729	1.6416723732256777	1.3546349804898348	1.5051499783212632	1.7323937598237729	1950-09-14T08:05:00Z	1950-09-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abdel	177360	a2	9/14/1950	08:05:00	0.7376	0.2624	0	55	1525	43.31	140	76	66	G	208.5	182.9	21.5	234.1	404	14.4	143.5	194.1	143.9	194.6	64	108	45.254833995939045	2.146128035678548	1.880813592281363	1.7403626894950335	1.6365881837308451	1.6556649761528563	1.8061799739845659	2.0334237554873518	1950-09-14T08:05:00Z	1950-09-14	0.331	0	0	0.669	0	0	0	0	0	73	0	0	51	0	0
Abdel	177379	a1	9/14/1950	08:05:00	0.7226	0.2774	0	64	1535	41.37	64	34	5	G	176.5	166.6	177.8	233	286.1	195.6	143	21.8	272.8	419.2	30	49	21.213203435596427	1.8061799739845659	1.5314789170435326	1.8061799739845659	1.616685520896562	1.326606256889719	1.4771212547211101	1.6901960800294	1950-09-14T08:05:00Z	1950-09-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abdel	177379	a1	9/14/1950	08:09:00	0.8422	0.1578	0	35	1535	13.79	38	2	1	G	52.7	19.3	148.6	120.9	280.6	96.4	4.5	33.2	197.3	234.2	36	20	25.45584412271571	1.579783596617953	0.30102999568569594	1.5440680443515165	1.139564266178999	1.4057875029370026	1.5563025007684936	1.3010299956661526	1950-09-14T08:09:00Z	1950-09-14	0.2774	0	0	0.7226	0	0	0	0	0	64	0	0	5	0	0
Abdel	177360	a2	9/14/1950	08:09:00	0.7452	0.2548	0	51	1525	13.47	86	45	13	G	209.8	26.1	26	394.9	419.5	175.3	190	169.8	216.6	252.3	41	65.5	28.991378028648448	1.9344984512440728	1.6532125137763087	1.707570176098788	1.1293675957262097	1.4622688588892427	1.6127838567207948	1.8162412999924462	1950-09-14T08:09:00Z	1950-09-14	0.2624	0.331	0	0.7376	0.669	0	0	0	0	55	73	0	66	51	0
Abdel	177492	a7	9/14/1950	08:09:00	0.8798	0.1202	0	24	1531	7	116	10	7	G	170.2	139.7	53.2	211.3	372.2	16.6	166.1	169	186.1	231.8	106	63	74.95331880577403	2.064457989227293	1.000000000004343	1.3802112417134156	0.8450980400204611	1.874790867433359	2.02530586526518	1.7993405494542711	1950-09-14T08:09:00Z	1950-09-14	0.2212	0	0	0.7788	0	0	0	0	0	54	0	0	38	0	0
Abdel	177379	a1	9/14/1950	08:14:00	0.825	0.175	0	40	1535	15.58	96	1	0	G	169.9	143.1	21.9	208.6	373.5	176.6	146.1	141.5	221.6	237.5	95	48.5	67.17514421272202	1.9822712330400207	4.342945178152237e-11	1.602059991329048	1.1925674533393331	1.8272086074575038	1.977723605289305	1.685741738603159	1950-09-14T08:14:00Z	1950-09-14	0.1578	0.2774	0	0.8422	0.7226	0	0	0	0	35	64	0	1	5	0
Abdel	177492	a7	9/14/1950	08:14:00	0.8428	0.1572	0	35	1531	13.98	82	12	12	G	100.9	4.5	49.4	197.3	250	37	152.4	37.4	203.4	370.1	70	47	49.49747468305833	1.9138138523842463	1.079181246051244	1.5440680443515165	1.1455071714127691	1.6945830421831436	1.8450980400148773	1.6720978579366415	1950-09-14T08:14:00Z	1950-09-14	0.1202	0.2212	0	0.8798	0.7788	0	0	0	0	24	54	0	7	38	0
Abdel	177360	a2	9/14/1950	08:14:00	0.857	0.143	0	29	1525	13.13	163	67	33	G	157.5	188.2	166.1	188.2	221	30.3	18.5	127.4	42.1	151.6	96	115	67.88225099390856	2.212187604404224	1.8260748027014746	1.4623979979004536	1.118264726092787	1.8317562352082175	1.9822712330400207	2.0606978403539893	1950-09-14T08:14:00Z	1950-09-14	0.2548	0.2624	0.331	0.7452	0.7376	0.669	0	0	0	51	55	73	13	66	51
